epoch,train_loss,train_acc,val_loss,val_acc,val_top5,val_macro_f1,head_lr,backbone_lr
0,12.615335735114845,4.5608108108108105,3.649624800224481,12.265607765276858,35.407015221707475,0.08376874725618728,0.0009,0.0003
1,11.876180713241165,18.243243243243242,3.082861514431263,24.597396867416723,62.232517096845356,0.19564943215043404,0.0009,0.0003
2,11.41742925386171,33.9527027027027,2.804688968538528,31.744981248621222,72.7112287668211,0.2773940483487353,0.0009,0.0003
3,11.032839478673163,46.95945945945946,2.4147389677221507,36.11294948157953,77.89543348775645,0.2997557551514708,0.0009,0.0003
4,10.636076759647679,55.236486486486484,2.0021856894641425,51.312596514449595,86.21222148687403,0.40161170231446186,0.0009,0.0003
5,10.320292769251642,68.91891891891892,1.7216089876931997,57.84248841826605,90.0507390249283,0.4732410933585557,0.0008999993311637047,0.0002999997770545682
6,9.885322313050967,72.12837837837837,1.62151419473436,55.32759761747187,90.0507390249283,0.46422030810789094,0.0008962433098230568,0.0002987477699410189
7,9.582127248918688,80.06756756756756,1.436522439447639,58.41606000441209,92.9185969556585,0.49686347042931284,0.0008852369229674956,0.0002950789743224985
8,8.846184562992406,81.41891891891892,1.2558111201214877,61.769247738804324,93.69071255239356,0.525390416100944,0.0008671684929276668,0.00028905616430922225
9,8.569313184635059,84.29054054054055,1.19698552702698,63.02669313920141,94.06574012795059,0.5454566543769008,0.0008423471755510669,0.0002807823918503556
10,8.169827770542454,89.02027027027027,1.1620139790794268,63.71056695345246,94.3084050297816,0.5512603902355572,0.0008111976704597788,0.0002703992234865929
11,7.91935032122844,90.70945945945945,1.0569156680416176,66.33575998235165,95.32318552834768,0.5790992152901747,0.0007742529543221891,0.00025808431810739633
12,7.606603918848811,91.55405405405405,1.0871013785659671,65.93867196117361,94.99227884403265,0.5862174667239752,0.0007321451614744221,0.0002440483871581407
13,7.4062329305184855,92.56756756756756,1.0358792826730785,66.40194131921464,95.47760864769468,0.5857845066956044,0.000685594767926589,0.00022853158930886302
14,7.227634275281751,93.24324324324324,1.067126063115647,67.46084270902273,95.52172953893668,0.5947320648730968,0.0006353982638185006,0.0002117994212728335
15,6.958646619642103,93.75,1.0252290401936728,67.90205162144275,95.25700419148467,0.592195308090815,0.0005824145252525465,0.00019413817508418218
16,6.765205563725652,93.07432432432432,1.0868342912805453,66.66666666666667,95.25700419148467,0.5815371653262312,0.0005275501186854576,0.00017585003956181923
17,6.595787099889807,93.58108108108108,1.0746467459261846,66.22545775424663,95.5879108757997,0.5818608623875372,0.0004717437893248841,0.00015724792977496135
18,6.4757253028251025,93.91891891891892,1.0660088649044335,67.26229869843371,95.89675711449371,0.5947458320168181,0.0004159503989386232,0.00013865013297954104
19,6.35728577021006,93.75,1.0393907196415362,68.49768365320979,95.8085153320097,0.6050951732584043,0.00036112458790503373,0.00012037486263501124
20,6.177815237560788,95.94594594594595,1.103042468892456,67.0416942422237,95.54378998455769,0.596852495779482,0.00030820444105148724,0.00010273481368382906
21,6.136316505638328,94.76351351351352,1.1023001259368195,67.63732627399074,95.69821310390469,0.6007554679474045,0.0002580954367628843,8.603181225429477e-05
22,6.008679979556316,95.60810810810811,1.0610588653329527,68.05647474078977,96.13942201632473,0.604932519871927,0.00021165495399544382,7.05516513318146e-05
23,5.854130435634303,96.28378378378379,1.047838691525596,68.34326053386279,96.07324067946172,0.6023988407881451,0.00016967760228505069,5.655920076168357e-05
24,5.88336174552505,95.10135135135135,1.0749501392123708,68.12265607765276,96.11736157070372,0.6056662469543991,0.0001328816257577908,4.4293875252596925e-05
25,5.782794146924405,94.93243243243244,1.094540881808704,68.4756232075888,95.7202735495257,0.6080659397484584,0.00010189661377381731,3.396553792460577e-05
26,5.718754120775171,96.11486486486487,1.0824577700365487,67.94617251268475,96.02911978821972,0.6037541065518793,7.725272847884429e-05,2.5750909492948092e-05
27,5.721578540028752,95.60810810810811,1.0793215742142837,67.90205162144275,95.7202735495257,0.6009720369839809,5.9371633582844675e-05,1.979054452761489e-05
28,5.765672516178441,96.28378378378379,1.0802800836563493,67.90205162144275,95.96293845135672,0.5976294049660165,4.855927957706512e-05,1.6186426525688372e-05
29,5.7169997208827255,95.94594594594595,1.0868914394084526,67.90205162144275,95.98499889697771,0.6077302692226173,4.5000668836295304e-05,1.5000222945431768e-05
